culinarias,nome,endereço,telefone,avaliação
Asiática,Càm O’n,Downtown - Avenida das Américas - 500 Bloco 9 - Loja 113 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 96966-8448 ,4.8
,Elena,Rua Pacheco Leão - 758 - Jardim Botânico - Rio de Janeiro - RJ,(21) 97186-8923,3.9
,Spicy Fish,R. Maria Quitéria - 99 - Ipanema - Rio de Janeiro - RJ,(21) 99787-8313,4.1
Australiana,Outback Botafogo,R. Gen. Severiano - 97 - Botafogo - Rio de Janeiro - RJ,(21) 3900-0006,4.5
Arabe,Bar do Elias,R. do Catete - 357 - Flamengo - Rio de Janeiro - RJ,(21) 2285-7472,4.5
,Mega Árabe,Shopping Barra Square - Avenida das Américas - 3555 - Av. Marechal Henrique Lott - 333 - Bloco - Loja 214 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99514-9393,4.8
,Arabs,Av. das Américas - 7607 - LJ 126 Tel. 2421-5880 / 2487-9653 - Tijuca - Rio de Janeiro - RJ,(21) 2421-5880,4.0
Açaí,Porto do Sabor,Av. Olegário Maciel - 231 - Loja B - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3085-0122,4.2
Alemã,Casa do Alemão,Av. das Américas - 1699 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2497-2629,4.6
,Bar da Lagoa,Av. Epitácio Pessoa - 1674 - Lagoa - Rio de Janeiro - RJ,(21) 2523-1135,4.4
Brasileira,Pescados na Brasa,R. Vítor Meireles - 92 - Riachuelo,(21) 99359-4753,4.6
,Rudä,Rua Garcia d'Avila - 118 - Ipanema - Rio de Janeiro - RJ,(21) 98385-7051,4.8
,Sofia,R. Barão de Iguatemi - 257 - Praca da Bandeira - Rio de Janeiro - RJ,(21) 96973-9781,4.9
Barbecue,Fogo de Chão,Av. Reporter Nestor Moreira - s/n - Botafogo - Rio de Janeiro - RJ,(21) 2542-1545,4.7
,Mocellin,Av. Armando Lombardi - 1010 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2492-1878,4.8
Bolos,Bolo de Bolo,Av. Jaime Poggi - 80 - Loja N - Jacarepaguá - Rio de Janeiro - RJ,(21) 99936-0880,4.7
,Clark Patisserie ,Av. Armando Lombardi - 633 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99835-3280,4.0
Boteco,Bar do Adão,R. Prudente de Morais - 237 - loja a - Ipanema - Rio de Janeiro - RJ,(21) 3841-8731,4.4
Chinesa,Cantón,R. Rodolfo Dantas - 26 - Copacabana - Rio de Janeiro - RJ,(21) 3594-0002,4.6
,Mr. Lam,R. Maria Angélica - 21 - Lagoa - Rio de Janeiro - RJ,(21) 2286-6661,4.8
,Benkei,Av. Embaixador Abelardo Bueno - 1300 - Jacarepaguá - Rio de Janeiro - RJ,(21) 3095-9132,4.5
Confeitaria,Clark Patisserie,Av. Armando Lombardi - 633 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99835-3280,4.0
,Ateliê Marycon Cake Designer,R. Dona Francisca de Siqueira - 71 - Casa - Tanque - Rio de Janeiro - RJ,(21) 98801-2412,5.0
Coerana,Ryu,Av. Das Américas 12600 - BL5 LJ104 - Condomínio Blue Square - Rio de Janeiro - RJ,(21) 3197-1666,4.8
,Spicy Fish,R. Maria Quitéria - 99 - Ipanema - Rio de Janeiro - RJ,(21) 99787-8313,4.1
,Hanguk House,Av. Armando Lombardi - 350 - Loja 320 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2494-1076,4.7
Crepe,Le Ble Noir,R. Xavier da Silveira - 19 - A - Copacabana - Rio de Janeiro - RJ,(21) 2267-6969,4.7
,Amelie Creperie,R. Arnaldo Quintela - 94 - Botafogo - Rio de Janeiro - RJ,(21) 3496-9656,4.6
,Bibi Sucos,Av. Ataulfo de Paiva - 591 A - Leblon - Rio de Janeiro - RJ,(21) 2259-0000,4.5
Carne,Traga,R. Cap. Salomão - 74 - Humaitá - Rio de Janeiro - RJ,(21) 97969-0490,4.6
,Mocellin,Av. Armando Lombardi - 1010 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2492-1878,4.8
,Outback,R. Gen. Severiano - 97 - Botafogo - Rio de Janeiro - RJ,(21) 3900-0006,4.5
,DB House,Av. das Américas - 8585 - Edícula 5 - Barra da Tijuca - Rio de Janeiro - RJ,https://www.instagram.com/dbhouse_,4.6
Churrascaria,Fogo de Chão,Av. Reporter Nestor Moreira - s/n - Botafogo - Rio de Janeiro - RJ,(21) 2542-1545,4.7
,Mocellin,Av. Armando Lombardi - 1010 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2492-1878,4.8
Chocolate,Cacau Show,Av. Embaixador Abelardo Bueno - 1300 - 1058 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3095-9114,4.4
,Koppenhagen,Metropolitano Shopping Barra - Av. Embaixador Abelardo Bueno - 1300 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2421-0348,4.5
Doces,Ateliê Marycon Cake Designer,R. Dona Francisca de Siqueira - 71 - Casa - Tanque - Rio de Janeiro - RJ,(21) 98801-2412,5.0
,Clark Patisserie,Av. Armando Lombardi - 633 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99835-3280,4.0
Detox,Spazziano,R. Prudente de Morais - 729 - Ipanema - Rio de Janeiro - RJ,(21) 2513-4050,4.7
,Big Bi,Av. Bartolomeu Mitre - 630 - Loja F - Leblon - Rio de Janeiro - RJ,(21) 2540-7559,4.5
Espanhola,Venga!,Rua Dias Ferreira - 113-B - Leblon - Rio de Janeiro - RJ,(21) 2512-9826,4.3
,Casa Mila,R. Esteves Júnior - 28 - Laranjeiras - Rio de Janeiro - RJ,(21) 3586-7460,4.3
Empadão,Porto do Sabor,Av. Olegário Maciel - 231 - Loja B - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3085-0122,4.2
,Casa da Empada,Av. das Américas - 4666 - Loja 211 D - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2431-8151,4.4
Espeto,Vizinhando,Av. Ayrton Senna - 5500 - bloco 12 loja 105 - Jacarepaguá - Rio de Janeiro - RJ,(21) 3400-7770,3.8
,Espetto Carioca,Av. Olegário Maciel - 135 - Loja D - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2146-3076,4.2
Francesa,L'Etoile,Sheraton Rio - Av. Niemeyer - 121 - Vidigal - Rio de Janeiro - RJ,(21) 2529-1299,4.9
,Loire Bistro,e Ss118 - Vogue Square Life Experience - Av. das Américas - 8585 - Loja Ss117 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 97999-3403,4.9
Fast Food,T.T. Burguer,Av. Olegário Maciel - 366 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99243-6737,4.4
,Tres Gordos,Av. Ataulfo de Paiva - 1240 - Leblon - Rio de Janeiro - RJ,(21) 96458-8678,2.7
Grega,O Grego,Rua Siqueira Campos - 18 - Copacabana - Rio de Janeiro - RJ,(21) 96460-0725,4.7
,Oia Cozinha Mediterranea ,R. Barão da Torre - 340 - A - Ipanema - Rio de Janeiro - RJ,(21) 99659-2271,4.5
,Tropìk,Avenida Atlântica - 00 - QC 47 E QC 48 E/F - Av. Rainha Elisabeth - Copacabana - Rio de Janeiro - RJ,(21) 2525-1244,4.1
Grelhados,Tragga,R. Cap. Salomão - 74 - Humaitá - Rio de Janeiro - RJ,(21) 97969-0490,4.6
,DB House           ,Av. das Américas - 8585 - Edícula 5 - Barra da Tijuca - Rio de Janeiro - RJ,https://www.instagram.com/dbhouse_,4.6
Galeto,Galeto & Cia.,Av. Nossa Sra. de Copacabana - 462 - Loja C - Copacabana - Rio de Janeiro - RJ,(21) 96710-7852,4.4
,Sat´s,R. Barata Ribeiro - 7 - Loja D - Copacabana - Rio de Janeiro - RJ,(21) 2275-6197,4.5
Hambúrguer,T.T. Burguer,Av. Olegário Maciel - 366 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99243-6737,4.4
,Tres Gordos,Av. Ataulfo de Paiva - 1240 - Leblon - Rio de Janeiro - RJ,(21) 96458-8678,2.7
Havaiana,Ono Poke,Av. Olegário Maciel - 45 - loja B - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3082-5347,4.2
,Hula-Hula Beach Bar,Posto Golden Green - Av. Lúcio Costa - 5170 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 96830-2277,4.5
Hot-Dog,Seu Vidal,Av. do Pepê - 700 - Loja 103 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3259-7692,4.4
,Nathan's,Av. das Américas - 3900 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3252-2598,3.8
,Geneal,R. Bruno Giorgi - 114 - 117 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3251-2496,4.2
Indiana,Kohinoor,R. Eng. Carlos Euler - 101 - LOJA 108 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 96769-6012,4.8
Italiana,Gabbiano Ristorante,Barra Garden Shopping - Av. das Américas - 3255 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3153-5529,4.8
,Nonna Per Heaven,Estr. de Jacarepaguá - 6069 - loja 121 A - Jacarepaguá - Rio de Janeiro - RJ,(21) 3696-2425,4.6
,Risoteria Gourmet,R. Vinícius de Moraes - 174 - Ipanema - Rio de Janeiro - RJ,(21) 3172-1010,4.6
Japonesa,San,R. Humberto de Campos - 827 - Loja F - Leblon - Rio de Janeiro - RJ,(21) 3094-5066,5.0
,Haru Sushi,R. Raimundo Corrêa - 10 - Copacabana - Rio de Janeiro - RJ,(21) 96732-2668,4.4
Koreana,Hanguk House,Av. Armando Lombardi - 350 - Loja 320 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2494-1076,4.7
,Spicy Fish,R. Maria Quitéria - 99 - Ipanema - Rio de Janeiro - RJ,(21) 99787-8313,4.1
,RYU Restaurante,Av. Das Américas 12600 - BL5 LJ104 - Condomínio Blue Square - Rio de Janeiro - RJ,(21) 3197-1666,4.8
Kosher,Shelanu,Rua Barata Ribeiro - 489 Second Floor - Rio de Janeiro - RJ,(21) 3258-0474,4.0
,Sushinharia,R. Barão de Ipanema - 53 - Copacabana - Rio de Janeiro - RJ,(21) 3593-3022,4.4
Libanesa,Basha,Av. Nossa Sra. de Copacabana - 198 - Copacabana - Rio de Janeiro - RJ,(21) 2244-5868,4.7
,Amir,R. Ronald de Carvalho - 55 - Copacabana - Rio de Janeiro - RJ,(21) 2542-7039,4.6
Mexicana,Mizu,Rua Farani - 16 - Botafogo - Rio de Janeiro - RJ,(21) 2553-4046,4.4
,Guacamole Cocina Mexicana,Av. Olegário Maciel - 108 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3178-0134,4.7
Mediterrânea,Oia Cozinha Mediterranea,R. Barão da Torre - 340 - A - Ipanema - Rio de Janeiro - RJ,(21) 99659-2271,4.5
,Tropìk,Avenida Atlântica - 00 - QC 47 E QC 48 E/F - Av. Rainha Elisabeth - Copacabana - Rio de Janeiro - RJ,(21) 2525-1244,4.1
,Tragga del Mar,Shopping Vogue - Av. das Américas - 8585 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 97999-3756,4.4
Natural,Prana Vegetariano,R. Lopes Quintas - 37 - Jardim Botânico - Rio de Janeiro - RJ,(21) 2294-9887,4.7
,Org Bistrô,Av. Olegário Maciel - 175 - loja g - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2493-1791,4.7
,Fit De Fato,Av. das Américas - 5001 - 160 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2042-9955,4.8
Oriental,Xian,Av. Alm. Silvio de Noronha - 365 - Centro - Rio de Janeiro - RJ,(21) 2303-7080,4.7
,Restaurante Mee,Av. Atlântica - 1702 - Copacabana - Rio de Janeiro - RJ,(21) 2548-7070,4.4
,Mr. Lam,R. Maria Angélica - 21 - Lagoa - Rio de Janeiro - RJ,(21) 2286-6661,4.8
Portuguesa,Rancho Portugues,R. Maria Quitéria - 136 - Ipanema - Rio de Janeiro - RJ,(21) 2287-0335,4.6
,Alfaia,Rua Inhangá - 30 - Copacabana - Rio de Janeiro - RJ,(21) 3497-7672,4.6
,Casanova Gastronomia,Av. Pres. Roosevelt - 139 - São Francisco - Niterói - RJ,(21) 3617-3964,4.8
Peruana,La Carioca Cevicheria,R. Maria Angélica - 113A - Lagoa - Rio de Janeiro - RJ,(21) 2226-8821,4.5
,Lima Cocina Peruana Niterói,Praia de São Francisco - Av. Quintino Bocaiúva - 151 - Loja 106 - São Francisco - Niterói - RJ,(21) 99880-3939,4.6
,Cantón Peruvian & Chinese Food,R. Rodolfo Dantas - 26 - Copacabana - Rio de Janeiro - RJ,(21) 3594-0002,4.6
Pizzaria,Giuseppe Square,Av. das Américas - 4666 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99575-6627,4.8
,Capricciosa,R. Maria Angélica - 37 - Jardim Botânico - Rio de Janeiro - RJ,(21) 2527-2656,4.4
,Brás,R. Maria Angélica - 129 - Jardim Botânico - Rio de Janeiro - RJ,(21) 2535-0687,4.6
Sushi,Haru Sushi,R. Raimundo Corrêa - 10 - Copacabana - Rio de Janeiro - RJ,(21) 96732-2668,4.4
,San,R. Humberto de Campos - 827 - Loja F - Leblon - Rio de Janeiro - RJ,(21) 3094-5066,5.0
Sopas,Pão & Companhia,R. das Laranjeiras - 147 - Laranjeiras - Rio de Janeiro - RJ,(21) 2225-0509,3.9
,Evora Delicatessen,Barra Square Shopping - Av. das Américas - 3555 - Bloco 2 - Loja 120 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2430-7122,4.3
Saudável,Prana Vegetariano,R. Lopes Quintas - 37 - Jardim Botânico - Rio de Janeiro - RJ,(21) 2294-9887,4.7
,Org Bistrô,Av. Olegário Maciel - 175 - loja g - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2493-1791,4.7
,Fit De Fato,Av. das Américas - 5001 - 160 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2042-9955,4.8
Sorvete,Sorvete Itália,Av. Ayrton Senna - 3000 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3153-0310,4.3
,Momo Gelato,Rua Garcia d'Avila - 83 - Ipanema - Rio de Janeiro - RJ,(21) 98560-3474,4.4
,Bacio di Latte,Av. Olegário Maciel - 460 - Barra da Tijuca - Rio de Janeiro - RJ,N/A,4.4
Tailandesa,Nam Thai,R. Rainha Guilhermina - 95 - LOJA B - Leblon - Rio de Janeiro - RJ,(21) 97042-6575,4.5
,C'mon Thai,Downtown - Avenida das Américas - 500 Bloco 9 - Loja 113 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 96966-8448 ,4.8
,Xian,Av. Alm. Silvio de Noronha - 365 - Centro - Rio de Janeiro - RJ,(21) 2303-7080,4.7
Tapas,Venga! Bar de Tapas (Leblon),Rua Dias Ferreira - 113-B - Leblon - Rio de Janeiro - RJ,(21) 2512-9826,4.3
Tortas,The Bakers,R. Santa Clara - 86 - Loja B - Copacabana - Rio de Janeiro - RJ,(21) 3209-1212,4.5
,Cafeína,Av. das Américas - 7380 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99882-6702,4.6
,Kurt,R. Gen. Urquiza - 117 B - Leblon - Rio de Janeiro - RJ,(21) 2294-0599,4.7
Vietnamita,Restaurante Mee,Av. Atlântica - 1702 - Copacabana - Rio de Janeiro - RJ,(21) 2548-7070,4.4
Vegetariana,Green Restaurante,R. do Carmo - 38 - sobreloja - Centro - Rio de Janeiro - RJ,(21) 2252-5356,4.5
,Nola,Rua Dias Ferreira - 247 - Leblon - Rio de Janeiro - RJ,(21) 2274-5590,4.6
Vegana,Org Bistrô,Av. Olegário Maciel - 175 - loja g - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2493-1791,4.7
,Teva,Av. Henrique Dumont - 110 - Loja B - Ipanema - Rio de Janeiro - RJ,(21) 3253-1355,4.7
Wrap,Tacos & Wraps,Rua Voluntários da Pátria - 32 - Botafogo - Rio de Janeiro - RJ,(21) 3268-6014,N/A
Yakisoba,Manekineko,Av. Ayrton Senna - 2150 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2431-6935,4.2
,Nori,R. Assunção - 147 - Botafogo - Rio de Janeiro - RJ,(21) 99988-0577,4.2